latitude,longitude,cluster_id,price_spread
37.98069,23.7369,12,13.75
37.99324,23.76516,0,-0.05000000000001137
37.99215,23.74881,-1,-0.9000000000000057
37.98313,23.73512,12,-18.950000000000003
37.9914,23.73284,7,15.949999999999989
37.96322,23.74079,3,16.399999999999977
37.97036,23.74749,3,-1.5500000000000114
37.97553,23.72849,21,3.1999999999999886
37.96133,23.73756,-1,2.5
37.96238,23.7181,-1,60.10000000000002
37.97837,23.74022,12,5.850000000000023
37.98798,23.73531,7,0.5999999999999943
37.97571,23.71633,5,-25.94999999999999
37.97148,23.73022,19,11.699999999999989
37.97706,23.7337,-1,10.550000000000011
37.99648,23.72735,16,1.6500000000000057
37.97965,23.73808,12,1.4499999999999886
37.97909,23.7359,12,-1.8999999999999773
37.97956466674805,23.72671890258789,21,17.55000000000001
37.96338,23.74079,3,17.75
37.9743,23.74885,3,-0.6999999999999886
38.01594,23.7236,-1,0.6000000000000014
37.961,23.72381,-1,-14.650000000000006
37.97957,23.72997,21,-0.25
37.989685,23.765181,0,-1.9499999999999886
37.97531,23.73128,21,8.900000000000006
37.99563,23.72613,16,-0.9500000000000028
37.97974,23.70749,-1,15.449999999999989
37.96938,23.74075,3,3.0999999999999943
37.97321,23.73411,21,8.100000000000023
37.9732,23.73391,21,3.1000000000000227
38.0197,23.73024,-1,4.699999999999989
37.97743,23.74587,10,3.8000000000000114
37.97738,23.72775,21,-0.29999999999999716
37.98658,23.7412,8,0.5499999999999972
37.96212,23.72224,19,14.199999999999989
37.9676,23.72998,19,2.5
37.98144,23.73842,12,16.69999999999999
37.9716,23.71201,5,7.800000000000011
37.97832,23.74447,10,42.25
37.96263,23.72269,19,4.200000000000003
37.96796,23.73238,19,-30.44999999999999
37.997227,23.745352,-1,-1.8500000000000014
37.96128,23.72654,-1,-26.900000000000006
37.99989,23.73478,6,-68.5
37.97905,23.7221,21,-23.849999999999994
37.96783,23.72734,19,-26.80000000000001
37.96053,23.72506,19,-22.19999999999999
37.95921,23.72799,-1,-6.599999999999994
37.97833,23.74433,10,-10.400000000000006
37.98217,23.73653,12,-22.349999999999994
37.99141,23.7102,-1,-10.299999999999997
37.96246,23.71985,19,7.400000000000006
37.96859,23.7497,3,-3.0500000000000114
37.98029,23.75643,1,-23.30000000000001
37.98756,23.7345,7,0.29999999999999716
37.98668,23.71398,-1,-7.299999999999997
37.97063,23.74422,3,-1.4499999999999886
37.99136,23.71875,-1,-12.699999999999989
