,property_type,room_type,accommodates,bathrooms,bedrooms,beds,latitude,longitude,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,review_scores_rating,number_of_reviews,minimum_nights,maximum_nights,instant_bookable,cluster_id,is_luxury,is_bathroom_shared,amenity_count,description_sentiment,neighborhood_overview_sentiment,listing_views_ltm,conversion_rate_ltm,average_lead_time,average_booking_duration,is_training_sample,price
321,rental_unit,Entire home/apt,4,2.0,2.0,3.0,37.96645,23.75052,within an hour,1.0,1.0,1,1,4.81,26,2,365,1,3,0,0,36,0.3851851851851852,0.36319444444444443,105,0.047619047619047616,40.2,4.0,1,195.0
322,rental_unit,Entire home/apt,5,1.0,3.0,3.0,37.9864,23.72479,a few days or more,0.0,0.89,0,1,4.74,39,2,360,0,11,0,0,40,0.0,0.06022727272727272,98,0.04081632653061224,62.75,9.25,1,105.0
323,rental_unit,Entire home/apt,2,1.0,1.0,1.0,37.9694,23.71141,within an hour,1.0,0.96,0,1,4.93,15,2,21,1,4,0,0,20,0.19431818181818183,0.19999999999999998,87,0.022988505747126436,34.0,7.5,1,90.0
324,rental_unit,Entire home/apt,4,1.0,1.0,1.0,37.98494,23.70555,within an hour,1.0,1.0,1,1,4.5,22,2,1125,1,-1,0,0,33,0.31416666666666665,0.16749999999999998,78,0.038461538461538464,22.333333333333332,6.0,1,230.0
325,hotel,Hotel room,2,1.0,,,37.97991,23.73904,within a few hours,1.0,1.0,0,1,4.0,1,1,1125,1,12,0,0,35,0.0642857142857143,0.21319444444444444,82,0.0,,,1,110.0
326,hotel,Hotel room,4,1.0,1.0,2.0,37.9822,23.73975,within a few hours,1.0,1.0,0,1,4.0,12,1,1125,1,12,0,0,36,0.275,0.21319444444444444,79,0.0,,,1,140.0
327,rental_unit,Entire home/apt,4,1.0,1.0,2.0,37.99673,23.74228,,,,0,1,4.96,28,3,1125,1,-1,0,0,25,0.25627705627705627,0.13,84,0.0,,,1,130.0
328,hotel,Hotel room,6,1.0,2.0,3.0,37.98171,23.73897,within a few hours,1.0,1.0,0,1,5.0,5,1,1125,1,12,0,0,36,0.10000000000000003,0.21319444444444444,83,0.0,,,1,450.0
329,hotel,Hotel room,2,1.0,1.0,1.0,37.98136,23.73917,within a few hours,1.0,1.0,0,1,,0,1,1125,1,12,0,0,34,0.043750000000000004,0.21319444444444444,83,0.0,,,1,150.0
330,rental_unit,Entire home/apt,14,5.0,5.0,7.0,37.98006057739258,23.72355842590332,within an hour,1.0,0.99,1,1,4.72,61,2,365,0,21,0,0,46,0.27666666666666667,0.27587719298245617,90,0.03333333333333333,40.666666666666664,5.333333333333333,1,445.0
331,rental_unit,Entire home/apt,8,1.5,3.0,4.0,37.99309,23.73046,within an hour,1.0,1.0,0,1,4.68,145,2,15,0,16,0,0,27,0.225,0.0,119,0.23529411764705882,58.82142857142857,6.821428571428571,1,205.0
332,condo,Entire home/apt,2,1.0,0.0,1.0,37.97721,23.73638,within a few hours,1.0,0.95,1,1,4.8,90,3,60,0,-1,0,0,28,0.17,0.3212121212121212,97,0.21649484536082475,74.28571428571429,7.857142857142857,1,140.0
333,rental_unit,Entire home/apt,4,1.0,2.0,3.0,37.964361,23.721889,,,,0,1,5.0,1,1,365,1,19,0,0,49,0.12380952380952381,0.20566137566137563,80,0.0,,,1,175.0
334,rental_unit,Entire home/apt,2,1.0,1.0,,37.96215,23.73208,within an hour,1.0,0.97,0,1,4.45,11,3,1125,0,-1,0,0,19,0.1671875,0.20402930402930403,64,0.0,,,1,60.0
335,rental_unit,Entire home/apt,6,2.0,2.0,4.0,37.9921,23.7218,within a few hours,0.83,1.0,1,1,4.96,123,2,1125,1,-1,0,0,33,0.17444444444444449,0.2875,94,0.1595744680851064,66.86666666666666,8.466666666666667,1,110.0
336,rental_unit,Entire home/apt,4,1.0,2.0,3.0,37.96424,23.72989,,,,0,1,4.88,94,2,30,1,19,0,0,41,0.20871212121212124,0.2966329966329966,90,0.12222222222222222,72.45454545454545,8.181818181818182,1,120.0
337,hotel,Entire home/apt,2,1.0,1.0,2.0,37.98123,23.73162,,,,0,1,5.0,1,1,1125,1,-1,0,0,22,0.08333333333333334,,74,0.0,,,1,110.0
338,condo,Entire home/apt,4,1.0,1.0,3.0,37.96784,23.74589,within an hour,1.0,1.0,1,1,4.85,198,3,60,0,3,0,0,45,0.28750000000000003,0.37142857142857144,90,0.28888888888888886,86.65384615384616,7.846153846153846,1,185.0
339,rental_unit,Entire home/apt,8,4.0,4.0,5.0,37.984928,23.72398,within an hour,1.0,0.99,1,1,4.71,34,3,365,1,20,0,0,43,0.0,0.15714285714285717,78,0.0,,,1,165.0
