,bin__host_is_superhost,bin__host_identity_verified,bin__instant_bookable,bin__is_luxury,bin__is_bathroom_shared,zero__average_lead_time,zero__average_booking_duration,num__accommodates,num__amenity_count,num__bathrooms,num__bedrooms,num__beds,num__conversion_rate_ltm,num__description_sentiment,num__host_acceptance_rate,num__host_response_rate,num__latitude,num__listing_views_ltm,num__longitude,num__maximum_nights,num__minimum_nights,num__neighborhood_overview_sentiment,num__number_of_reviews,num__review_scores_rating,ohe__property_type_condo,ohe__property_type_home,ohe__property_type_hotel,ohe__property_type_other,ohe__property_type_rental_unit,ohe__room_type_Entire home/apt,ohe__room_type_Hotel room,ohe__room_type_Private room,ohe__room_type_Shared room,ohe__cluster_id_-1,ohe__cluster_id_0,ohe__cluster_id_1,ohe__cluster_id_2,ohe__cluster_id_3,ohe__cluster_id_4,ohe__cluster_id_5,ohe__cluster_id_6,ohe__cluster_id_7,ohe__cluster_id_8,ohe__cluster_id_9,ohe__cluster_id_10,ohe__cluster_id_11,ohe__cluster_id_12,ohe__cluster_id_13,ohe__cluster_id_14,ohe__cluster_id_15,ohe__cluster_id_16,ohe__cluster_id_17,ohe__cluster_id_18,ohe__cluster_id_19,ohe__cluster_id_20,ohe__cluster_id_21,ord__host_response_time,price
20,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,52.0,1.0,2.0,2.0,0.0,-0.0083333333333333,0.81,1.0,37.95553,76.0,23.7164,1125.0,2.0,0.1791666666666666,2.0,4.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,155.0
21,1.0,1.0,1.0,0.0,0.0,36.5,5.5,2.0,26.0,1.0,0.0,1.0,0.0217391304347826,0.2893939393939393,1.0,0.8,37.97857,92.0,23.73031,60.0,2.0,0.1817148760330578,177.0,4.81,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,110.0
22,0.0,1.0,0.0,0.0,0.0,130.0,7.0,4.0,25.0,1.0,1.0,3.0,0.0099009900990099,0.35,1.0,1.0,37.98505,101.0,23.75485,1125.0,2.0,0.1194444444444444,59.0,4.66,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,150.0
23,1.0,1.0,0.0,1.0,0.0,45.77272727272727,6.136363636363637,3.0,46.0,1.0,1.0,1.0,0.2178217821782178,0.1037037037037037,0.98,1.0,37.96397,101.0,23.71912,30.0,1.0,0.1499999999999999,413.0,4.98,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,195.0
24,1.0,1.0,0.0,0.0,0.0,65.47058823529412,6.705882352941177,4.0,27.0,1.0,1.0,2.0,0.1717171717171717,0.3249999999999999,1.0,1.0,37.97992,99.0,23.72914,90.0,2.0,0.2813333333333333,251.0,4.85,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,210.0
25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,1.5,2.0,1.0,0.0,0.42,0.0,1.0,37.98262,93.0,23.71893,1125.0,2.0,0.6958333333333333,18.0,4.94,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,75.0
26,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,36.0,1.0,2.0,2.0,0.0,0.42,1.0,1.0,38.00366,85.0,23.72886,1125.0,3.0,0.0,39.0,4.28,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,125.0
27,0.0,1.0,1.0,0.0,0.0,2.0,10.0,2.0,35.0,1.0,1.0,1.0,0.0131578947368421,0.3183333333333333,1.0,1.0,37.98131,76.0,23.71987,730.0,7.0,0.20450779727095514,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,50.0
28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,1.0,1.0,3.0,0.0,-0.025,0.0,0.0,37.98633,88.0,23.71871,20.0,3.0,0.1857843137254902,32.0,4.84,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
29,0.0,1.0,0.0,0.0,0.0,37.0,5.0,2.0,29.0,1.0,1.0,1.0,0.0117647058823529,0.1429761904761904,1.0,1.0,37.98729,85.0,23.71923,1125.0,2.0,0.2541666666666667,213.0,4.86,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,55.0
