level,timestamp,model,prediction,real
INFO,2026-01-13 22:13:39,base,196.6909,165.0
INFO,2026-01-13 22:13:39,base,143.6259,185.0
INFO,2026-01-13 22:13:39,advanced,180.4500,160.0
INFO,2026-01-13 22:13:39,advanced,68.5500,135.0
INFO,2026-01-13 22:13:39,base,175.5665,115.0
INFO,2026-01-13 22:13:39,advanced,75.9000,80.0
INFO,2026-01-13 22:13:39,advanced,70.1000,85.0
INFO,2026-01-13 22:13:39,base,420.0488,360.0
INFO,2026-01-13 22:13:39,advanced,160.7500,115.0
INFO,2026-01-13 22:13:39,advanced,256.6500,235.0
INFO,2026-01-13 22:13:39,advanced,107.4500,175.0
INFO,2026-01-13 22:13:39,base,314.6293,415.0
INFO,2026-01-13 22:13:39,base,187.8999,270.0
INFO,2026-01-13 22:13:39,advanced,70.6500,110.0
INFO,2026-01-13 22:13:39,advanced,64.4000,140.0
INFO,2026-01-13 22:13:39,advanced,188.3000,290.0
INFO,2026-01-13 22:13:39,base,270.4616,190.0
INFO,2026-01-13 22:13:39,base,155.6100,180.0
INFO,2026-01-13 22:13:39,base,99.8825,70.0
INFO,2026-01-13 22:13:39,base,221.3344,165.0
INFO,2026-01-13 22:13:39,advanced,168.4000,205.0
INFO,2026-01-13 22:13:39,advanced,65.3500,85.0
INFO,2026-01-13 22:13:39,base,172.9138,165.0
INFO,2026-01-13 22:13:39,advanced,85.9000,80.0
INFO,2026-01-13 22:13:39,advanced,75.5500,100.0
INFO,2026-01-13 22:13:39,base,129.4648,120.0
INFO,2026-01-13 22:13:39,base,152.5568,135.0
INFO,2026-01-13 22:13:39,base,135.5043,100.0
INFO,2026-01-13 22:13:39,advanced,76.8500,60.0
INFO,2026-01-13 22:13:39,base,100.6526,85.0
INFO,2026-01-13 22:13:39,advanced,236.0500,195.0
INFO,2026-01-13 22:13:39,base,129.3235,175.0
INFO,2026-01-13 22:13:39,advanced,184.5000,195.0
INFO,2026-01-13 22:13:39,advanced,94.5500,125.0
INFO,2026-01-13 22:13:39,base,100.5580,80.0
INFO,2026-01-13 22:13:39,advanced,72.0500,90.0
INFO,2026-01-13 22:13:39,base,138.7962,175.0
INFO,2026-01-13 22:13:39,base,168.8504,145.0
INFO,2026-01-13 22:13:39,base,177.5915,185.0
INFO,2026-01-13 22:13:39,base,166.4753,145.0
INFO,2026-01-13 22:13:39,advanced,221.0500,215.0
INFO,2026-01-13 22:13:39,advanced,323.9500,350.0
INFO,2026-01-13 22:13:39,advanced,225.1000,190.0
INFO,2026-01-13 22:13:39,advanced,220.1000,230.0
INFO,2026-01-13 22:13:39,base,238.8334,225.0
INFO,2026-01-13 22:13:39,advanced,386.5000,285.0
INFO,2026-01-13 22:13:39,base,65.5991,55.0
INFO,2026-01-13 22:13:39,base,318.8800,405.0
INFO,2026-01-13 22:13:39,advanced,176.5500,180.0
INFO,2026-01-13 22:13:39,advanced,295.8000,250.0
INFO,2026-01-13 22:13:39,base,165.7344,195.0
INFO,2026-01-13 22:13:39,base,140.6041,145.0
INFO,2026-01-13 22:13:39,advanced,173.6000,165.0
INFO,2026-01-13 22:13:39,advanced,250.0500,245.0
INFO,2026-01-13 22:13:39,base,210.5083,265.0
INFO,2026-01-13 22:13:39,advanced,158.3500,280.0
INFO,2026-01-13 22:13:39,advanced,71.4500,120.0
INFO,2026-01-13 22:13:39,advanced,71.0000,65.0
INFO,2026-01-13 22:13:39,advanced,160.2500,165.0
INFO,2026-01-13 22:13:39,advanced,233.0500,230.0
INFO,2026-01-13 22:13:39,base,194.1794,230.0
INFO,2026-01-13 22:13:39,advanced,111.7500,100.0
INFO,2026-01-13 22:13:39,base,91.9025,75.0
INFO,2026-01-13 22:13:39,advanced,171.1000,130.0
INFO,2026-01-13 22:13:39,base,239.1154,335.0
